 time            v(out)          time            v(outpl)       
 3.10000000e-01  9.37476131e-01  3.10000000e-01  9.05226980e-01 
 3.10100000e-01  9.37778944e-01  3.10100000e-01  9.05520334e-01 
 3.10300000e-01  9.38386226e-01  3.10300000e-01  9.06108962e-01 
 3.10700000e-01  9.39610414e-01  3.10700000e-01  9.07297176e-01 
 3.11500000e-01  9.42121499e-01  3.11500000e-01  9.09744589e-01 
 3.12500000e-01  9.45446065e-01  3.12500000e-01  9.13010455e-01 
 3.13500000e-01  9.49056945e-01  3.13500000e-01  9.16592039e-01 
 3.14500000e-01  9.53012068e-01  3.14500000e-01  9.20551684e-01 
 3.15500000e-01  9.57331272e-01  3.15500000e-01  9.24911492e-01 
 3.16500000e-01  9.61991410e-01  3.16500000e-01  9.29648629e-01 
 3.17500000e-01  9.66929039e-01  3.17500000e-01  9.34697859e-01 
